OrderID,Latitude,Longitude,Pincode,warehouse,warehouse_lat,warehouse_lon
ORD-1081,26.87112,80.94312,226006,0,26.8092,80.9185
ORD-1078,26.87712,80.91912,226003,0,26.8092,80.9185
ORD-1012,26.82134,81.00812,226029,0,26.8092,80.9185
ORD-1014,26.80789,80.91234,226005,0,26.8092,80.9185
ORD-1033,26.87634,80.94923,226006,0,26.8092,80.9185
ORD-1030,26.87312,80.91423,226003,0,26.8092,80.9185
ORD-1008,26.85198,80.89234,226017,0,26.8092,80.9185
ORD-1031,26.85912,80.92612,226018,0,26.8092,80.9185
ORD-1007,26.85612,80.92341,226018,0,26.8092,80.9185
ORD-1026,26.81512,80.92012,226005,0,26.8092,80.9185
ORD-1025,26.85023,80.94123,226001,0,26.8092,80.9185
ORD-1024,26.81712,81.00234,226029,0,26.8092,80.9185
ORD-1006,26.87123,80.91089,226003,0,26.8092,80.9185
ORD-1032,26.84923,80.89523,226017,0,26.8092,80.9185
ORD-1027,26.86134,80.99123,226010,2,26.9048,80.9735
ORD-1093,26.87812,80.95112,226006,2,26.9048,80.9735
ORD-1039,26.86712,80.98423,226010,2,26.9048,80.9735
ORD-1076,26.88912,80.98912,226016,2,26.9048,80.9735
ORD-1077,26.89312,80.96412,226024,2,26.9048,80.9735
ORD-1003,26.86412,80.99541,226010,2,26.9048,80.9735
ORD-1004,26.88102,80.99312,226016,2,26.9048,80.9735
ORD-1095,26.90312,80.97212,226022,2,26.9048,80.9735
ORD-1011,26.90812,80.97123,226022,2,26.9048,80.9735
ORD-1082,26.87512,81.05812,226028,2,26.9048,80.9735
ORD-1088,26.88412,80.99712,226016,2,26.9048,80.9735
ORD-1094,26.86212,81.04912,226028,2,26.9048,80.9735
ORD-1075,26.86512,80.99312,226010,2,26.9048,80.9735
ORD-1087,26.85812,80.98212,226010,2,26.9048,80.9735
ORD-1089,26.89712,80.96712,226024,2,26.9048,80.9735
ORD-1005,26.89234,80.96018,226024,2,26.9048,80.9735
ORD-1015,26.85923,80.98712,226010,2,26.9048,80.9735
ORD-1035,26.91023,80.97312,226022,2,26.9048,80.9735
ORD-1034,26.86523,81.05712,226028,2,26.9048,80.9735
ORD-1017,26.88712,80.96523,226024,2,26.9048,80.9735
ORD-1083,26.90612,80.96712,226022,2,26.9048,80.9735
ORD-1010,26.86712,81.05341,226028,2,26.9048,80.9735
ORD-1053,26.89134,80.96812,226024,2,26.9048,80.9735
ORD-1059,26.90812,80.97812,226022,2,26.9048,80.9735
ORD-1009,26.87891,80.95214,226006,2,26.9048,80.9735
ORD-1046,26.86934,81.04523,226028,2,26.9048,80.9735
ORD-1047,26.90512,80.96912,226022,2,26.9048,80.9735
ORD-1058,26.87312,81.05112,226028,2,26.9048,80.9735
ORD-1029,26.89512,80.95812,226024,2,26.9048,80.9735
ORD-1028,26.87923,80.99012,226016,2,26.9048,80.9735
ORD-1099,26.86812,80.99812,226010,2,26.9048,80.9735
ORD-1051,26.85712,80.99712,226010,2,26.9048,80.9735
ORD-1052,26.88712,80.98712,226016,2,26.9048,80.9735
ORD-1040,26.88234,80.99523,226016,2,26.9048,80.9735
ORD-1016,26.88512,80.99834,226016,2,26.9048,80.9735
ORD-1023,26.90234,80.97634,226022,2,26.9048,80.9735
ORD-1022,26.87123,81.04812,226028,2,26.9048,80.9735
ORD-1021,26.87312,80.95712,226006,2,26.9048,80.9735
ORD-1064,26.87812,80.99912,226016,2,26.9048,80.9735
ORD-1065,26.88612,80.95912,226024,2,26.9048,80.9735
ORD-1069,26.87512,80.95912,226006,2,26.9048,80.9735
ORD-1070,26.86812,81.04212,226028,2,26.9048,80.9735
ORD-1041,26.88912,80.96234,226024,2,26.9048,80.9735
ORD-1071,26.90112,80.97512,226022,2,26.9048,80.9735
ORD-1063,26.86234,80.98912,226010,2,26.9048,80.9735
ORD-1100,26.88112,80.99212,226016,2,26.9048,80.9735
