OrderID,Region,Latitude,Longitude,OrderDate,Price(INR),Weight(kg),Size,Timestamp,Pincode
ORD-1073,Hazratganj,26.85112,80.94812,2024-05-27,1380,5.10,Medium,2024-05-27T11:28,226001
ORD-1074,Alambagh,26.80312,80.91112,2024-10-04,2850,15.70,XL,2024-10-04T16:18,226005
ORD-1075,Gomti Nagar,26.86512,80.99312,2024-04-02,640,2.00,Small,2024-04-02T12:52,226010
ORD-1076,Indira Nagar,26.88912,80.98912,2024-07-17,1830,7.80,Large,2024-07-17T18:35,226016
ORD-1077,Aliganj,26.89312,80.96412,2024-11-25,1040,3.90,Medium,2024-11-25T10:22,226024
ORD-1078,Chowk,26.87712,80.91912,2024-02-07,3420,19.20,XL,2024-02-07T21:38,226003
ORD-1079,Aminabad,26.85812,80.92412,2024-04-13,720,2.60,Medium,2024-04-13T14:08,226018
ORD-1080,Rajajipuram,26.85512,80.90212,2024-09-18,1590,6.50,Large,2024-09-18T11:58,226017
ORD-1081,Mahanagar,26.87112,80.94312,2024-11-01,390,0.90,Small,2024-11-01T17:15,226006
ORD-1082,Chinhat,26.87512,81.05812,2024-06-26,2240,11.40,XL,2024-06-26T09:42,226028
ORD-1083,Vikas Nagar,26.90612,80.96712,2024-01-14,1100,4.30,Medium,2024-01-14T15:02,226022
ORD-1084,Vrindavan Yojana,26.81512,81.00112,2024-03-23,560,1.50,Small,2024-03-23T19:25,226029
ORD-1085,Hazratganj,26.84612,80.95212,2024-06-09,2620,13.60,XL,2024-06-09T11:48,226001
ORD-1086,Alambagh,26.81312,80.92812,2024-10-17,830,3.30,Medium,2024-10-17T16:38,226005
ORD-1087,Gomti Nagar,26.85812,80.98212,2024-04-15,1480,5.60,Medium,2024-04-15T13:12,226010
ORD-1088,Indira Nagar,26.88412,80.99712,2024-07-30,310,0.60,Small,2024-07-30T18:55,226016
ORD-1089,Aliganj,26.89712,80.96712,2024-12-08,2070,9.70,Large,2024-12-08T10:42,226024
ORD-1090,Chowk,26.86412,80.90912,2024-02-20,1230,4.60,Medium,2024-02-20T21:58,226003
ORD-1091,Aminabad,26.85112,80.93312,2024-04-26,1960,8.50,Large,2024-04-26T14:28,226018
ORD-1092,Rajajipuram,26.84512,80.89412,2024-10-01,450,1.10,Small,2024-10-01T12:18,226017
ORD-1093,Mahanagar,26.87812,80.95112,2024-11-14,2780,14.50,XL,2024-11-14T17:35,226006
ORD-1094,Chinhat,26.86212,81.04912,2024-07-08,1050,4.00,Medium,2024-07-08T10:02,226028
ORD-1095,Vikas Nagar,26.90312,80.97212,2024-01-27,690,2.40,Small,2024-01-27T15:22,226022
ORD-1096,Vrindavan Yojana,26.82112,81.01512,2024-04-05,2130,9.10,Large,2024-04-05T19:45,226029
ORD-1097,Hazratganj,26.84912,80.94512,2024-06-21,1670,6.70,Large,2024-06-21T12:08,226001
ORD-1098,Alambagh,26.80912,80.91612,2024-10-30,3280,17.90,XL,2024-10-30T16:58,226005
ORD-1099,Gomti Nagar,26.86812,80.99812,2024-04-28,900,3.50,Medium,2024-04-28T13:32,226010
ORD-1100,Indira Nagar,26.88112,80.99212,2024-08-12,1410,5.20,Medium,2024-08-12T19:15,226016
